Received data from command line argument, length: 898
<<<<<<<<<<<<<<<<  ID: 37c044278290  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.399
INFO [ParseReceivedData][1875] oblslot[6]: 0.081, -2.399
INFO [ParseReceivedData][1875] oblslot[6]: 0.081, -2.899
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -0.867 3.142
INFO [ParseReceivedData][1993] end: -1.999 -2.508 1.572
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.304ms
INFO [HybridAStarPlan][2231] 1_result: 1   (50)
INFO [HybridAStarPlan][2298] path send success 52
INFO [HybridAStarPlan][2315] traj: [0]	 x:2.197	 y:-0.867	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.497	 y:-0.867	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.797	 y:-0.863	 phi:-177.754
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.497	 y:-0.865	 phi:178.527
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.198	 y:-0.848	 phi:174.808
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.900	 y:-0.811	 phi:171.089
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.605	 y:-0.755	 phi:167.370
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.315	 y:-0.680	 phi:163.650
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.030	 y:-0.586	 phi:159.931
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.752	 y:-0.474	 phi:156.212
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.481	 y:-0.345	 phi:152.493
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.220	 y:-0.197	 phi:148.774
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.031	 y:-0.034	 phi:145.054
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.272	 y:0.146	 phi:141.335
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.500	 y:0.341	 phi:137.616
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.714	 y:0.550	 phi:133.897
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.915	 y:0.773	 phi:130.178
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.101	 y:1.008	 phi:126.458
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.272	 y:1.255	 phi:122.739
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.426	 y:1.513	 phi:119.020
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.562	 y:1.779	 phi:115.301
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.682	 y:2.055	 phi:111.582
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.783	 y:2.337	 phi:107.862
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.866	 y:2.625	 phi:104.143
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.930	 y:2.918	 phi:100.424
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.974	 y:3.215	 phi:96.705
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.000	 y:3.514	 phi:92.986
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.006	 y:3.814	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.006	 y:3.514	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.005	 y:3.214	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.005	 y:2.914	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.005	 y:2.614	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.004	 y:2.314	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.004	 y:2.014	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.004	 y:1.714	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.003	 y:1.414	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.003	 y:1.114	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.003	 y:0.814	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.002	 y:0.514	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.002	 y:0.214	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.002	 y:-0.086	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.001	 y:-0.386	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [42]	 x:-2.001	 y:-0.686	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [43]	 x:-2.001	 y:-0.986	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [44]	 x:-2.000	 y:-1.286	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [45]	 x:-2.000	 y:-1.586	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [46]	 x:-2.000	 y:-1.886	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [47]	 x:-1.999	 y:-2.186	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [48]	 x:-1.999	 y:-2.486	 phi:90.063
INFO [HybridAStarPlan][2315] traj: [49]	 x:-1.999	 y:-2.508	 phi:90.063

