Received data from command line argument, length: 723
<<<<<<<<<<<<<<<<  ID: 2289b6815c20  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.536
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.536
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.036
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.267 3.142
INFO [ParseReceivedData][1993] end: -0.851 -4.360 2.143
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.545ms
INFO [HybridAStarPlan][2231] 1_result: 1   (51)
INFO [HybridAStarPlan][2298] path send success 52
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.267	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.266	 phi:179.014
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.251	 phi:175.295
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.001	 y:-1.217	 phi:171.576
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.296	 y:-1.164	 phi:167.856
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.587	 y:-1.091	 phi:164.137
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.872	 y:-1.000	 phi:160.418
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.152	 y:-0.890	 phi:156.699
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.423	 y:-0.763	 phi:152.980
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.686	 y:-0.618	 phi:149.260
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.938	 y:-0.456	 phi:145.541
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.180	 y:-0.278	 phi:141.822
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.410	 y:-0.085	 phi:138.103
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.626	 y:0.122	 phi:134.384
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.829	 y:0.343	 phi:130.664
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.017	 y:0.577	 phi:126.945
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.190	 y:0.822	 phi:123.226
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.352	 y:1.074	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.190	 y:0.822	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [30]	 x:-4.027	 y:0.570	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.865	 y:0.318	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.702	 y:0.066	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.540	 y:-0.187	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [34]	 x:-3.377	 y:-0.439	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [35]	 x:-3.215	 y:-0.691	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [36]	 x:-3.052	 y:-0.943	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.890	 y:-1.195	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.727	 y:-1.448	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.565	 y:-1.700	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.402	 y:-1.952	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.240	 y:-2.204	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [42]	 x:-2.078	 y:-2.456	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.915	 y:-2.709	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.753	 y:-2.961	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.590	 y:-3.213	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.428	 y:-3.465	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [47]	 x:-1.265	 y:-3.717	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [48]	 x:-1.103	 y:-3.970	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [49]	 x:-0.940	 y:-4.222	 phi:122.791
INFO [HybridAStarPlan][2315] traj: [50]	 x:-0.851	 y:-4.360	 phi:122.791

